time_bucket,diff_bucket,sample_size,up_win_rate,down_win_rate,up_intercept,up_slope_price,up_slope_time,down_intercept,down_slope_price,down_slope_time
0-3m,"(20, 40]",17757,0.8448499183420622,0.15515008165793776,0.8755590236232835,0.003012613398056873,-0.0013243848427378266,0.12444097637671647,-0.003012613398056873,0.0013243848427378266
0-3m,"(-60, -40]",17522,0.0795000570711106,0.9204999429288894,0.0523203447596303,0.0007659221649393256,0.0007567743409380654,0.9476796552403697,-0.0007659221649393256,-0.0007567743409380654
0-3m,"(40, 60]",16912,0.8903736991485336,0.10962630085146641,0.8035985616763076,0.0031705498387104925,-0.0007936468119327115,0.1964014383236924,-0.0031705498387104925,0.0007936468119327115
0-3m,"(0, 20]",16091,0.6131999254241501,0.38680007457584986,0.571680564822767,0.012973663776032448,-0.0009312300067291154,0.42831943517723303,-0.012973663776032448,0.0009312300067291154
0-3m,"(-20, 0]",15285,0.3347726529277069,0.6652273470722931,0.3368035647252904,0.009447213926504171,0.0009638275610371581,0.6631964352747096,-0.009447213926504171,-0.0009638275610371581
0-3m,"(-40, -20]",14886,0.17660889426306597,0.8233911057369341,0.3218906975562682,0.007224346773028487,0.0008193921237952635,0.6781093024437318,-0.007224346773028487,-0.0008193921237952635
0-3m,"(60, 80]",13624,0.9252055196711685,0.07479448032883151,0.8677028170926647,0.0020687788474137254,-0.0009513261071625754,0.13229718290733528,-0.0020687788474137254,0.0009513261071625754
0-3m,"(-80, -60]",13200,0.08666666666666667,0.9133333333333333,0.18935128860652084,0.0028739484072639425,0.001061237172427638,0.8106487113934792,-0.0028739484072639425,-0.001061237172427638
0-3m,"(80, 100]",11727,0.9629913873966062,0.03700861260339383,1.0671958600671207,-0.0005527422839374205,-0.0006218248115605807,-0.06719586006712075,0.0005527422839374205,0.0006218248115605807
0-3m,"(100, 120]",10191,0.9862623883819056,0.013737611618094392,0.8921907973525274,0.0010571537207208974,-0.00023596219453251536,0.10780920264747262,-0.0010571537207208974,0.00023596219453251536
0-3m,"(-100, -80]",9651,0.04517666563050461,0.9548233343694954,0.0182731657167057,0.00020974996170823924,0.00048036000620609997,0.9817268342832943,-0.00020974996170823924,-0.00048036000620609997
0-3m,"(120, 140]",9493,0.9968397766775519,0.0031602233224481413,1.0533164799918788,-0.0003744868456095923,-9.155732604595145e-05,-0.05331647999187883,0.0003744868456095923,9.155732604595145e-05
0-3m,"(-120, -100]",8566,0.027083819752509924,0.97291618024749,-0.05226546290148362,-0.00035434966997007075,0.00043494916821741207,1.0522654629014836,0.00035434966997007075,-0.00043494916821741207
0-3m,"(-140, -120]",8477,0.02335731980653533,0.9766426801934647,0.0070903428415711334,0.00015209556927916264,0.0004195628819478487,0.9929096571584288,-0.00015209556927916264,-0.0004195628819478487
0-3m,"(140, 160]",7152,0.9980425055928411,0.0019574944071588662,1.0070798984059584,-2.877520622670254e-05,-5.2347521831247625e-05,-0.007079898405958351,2.877520622670254e-05,5.2347521831247625e-05
